especie,Date,apertura,maximo,minimo,Close,volumen,timestamp
CEDEARKO,2021-02-17,1530,1530,1474.5,1486.5,18742,1613530800
CEDEARKO,2021-02-18,1485,1489.5,1421,1475,18561,1613617200
CEDEARKO,2021-02-19,1475,1492,1435,1437,8265,1613703600
CEDEARKO,2021-02-22,1437,1447.5,1369,1443.5,26816,1613962800
CEDEARKO,2021-02-23,1450,1475,1405,1451,27687,1614049200
CEDEARKO,2021-02-24,1480,1488,1440,1479,13904,1614135600
CEDEARKO,2021-02-25,1483,1493,1473,1475.5,9547,1614222000
CEDEARKO,2021-02-26,1476,1499,1455,1477.5,13975,1614308400
CEDEARKO,2021-03-01,1470.5,1503,1460,1500.5,6419,1614567600
CEDEARKO,2021-03-02,1499,1527.5,1483,1525,2,1614654000
CEDEARKO,2021-03-03,1520,1535,1500,1530,2,1614740400
CEDEARKO,2021-03-04,1500,1563,1497.5,1515,1,1614826800
CEDEARKO,2021-03-05,1499,1550,1499,1540,1,1614913200
CEDEARKO,2021-03-08,1550,1616,1546,1586,1,1615172400
CEDEARKO,2021-03-09,1603,1610,1554.5,1571,4,1615258800
CEDEARKO,2021-03-10,1578,1595,1541.5,1552,2,1615345200
CEDEARKO,2021-03-11,1560,1580,1519,1533,3,1615431600
CEDEARKO,2021-03-12,1530,1542,1506.5,1517,9116,1615518000
CEDEARKO,2021-03-15,1530,1550,1517,1546,7357,1615777200
CEDEARKO,2021-03-16,1550,1565,1532,1547.5,16588,1615863600
CEDEARKO,2021-03-17,1547,1563,1540,1556.5,13833,1615950000
CEDEARKO,2021-03-18,1563.5,1563.5,1530,1530,17761,1616036400
CEDEARKO,2021-03-19,1549.5,1549.5,1502,1509.5,21863,1616122800
CEDEARKO,2021-03-22,1518,1544,1515.5,1519,11291,1616382000
CEDEARKO,2021-03-23,1520,1547,1520,1533.5,15951,1616468400
CEDEARKO,2021-03-25,1540,1552,1490,1532,9,1616641200
CEDEARKO,2021-03-26,1510,1553.5,1510,1540.5,20091,1616727600
CEDEARKO,2021-03-29,1540,1561,1505,1555.5,19523,1616986800
CEDEARKO,2021-03-30,1554,1564,1500.5,1553.5,15512,1617073200
CEDEARKO,2021-03-31,1550,1566,1515,1553.5,9013,1617159600
CEDEARKO,2021-04-05,1550,1597,1500,1567.5,52639,1617591600
CEDEARKO,2021-04-06,1574,1630,1564.5,1600.5,52989,1617678000
CEDEARKO,2021-04-07,1600,1627,1590,1607.5,38293,1617764400
CEDEARKO,2021-04-08,1608,1624,1594,1609,33952,1617850800
CEDEARKO,2021-04-09,1612,1619,1595,1609.5,18048,1617937200
CEDEARKO,2021-04-12,1625,1625,1600,1610,7118,1618196400
CEDEARKO,2021-04-13,1602,1620,1595.5,1610,43829,1618282800
CEDEARKO,2021-04-14,1610,1619,1600,1611,18315,1618369200
CEDEARKO,2021-04-15,1620,1630,1613,1622,26728,1618455600
CEDEARKO,2021-04-16,1622,1643.5,1620,1631.5,24450,1618542000
CEDEARKO,2021-04-19,1633,1650,1628,1639.5,27606,1618801200
CEDEARKO,2021-04-20,1645,1670,1639.5,1662.5,36394,1618887600
CEDEARKO,2021-04-21,1662.5,1683,1656,1672.5,17218,1618974000
CEDEARKO,2021-04-22,1670,1691,1645,1655.5,16445,1619060400
CEDEARKO,2021-04-23,1642,1690,1642,1680.5,55531,1619146800
CEDEARKO,2021-04-26,1645,1672,1645,1665,1,1619406000
CEDEARKO,2021-04-27,1666.5,1676,1650,1671,20327,1619492400
CEDEARKO,2021-04-28,1679,1691.5,1670,1686,28246,1619578800
CEDEARKO,2021-04-29,1695,1723,1691,1718,23637,1619665200
CEDEARKO,2021-04-30,1715,1715,1695,1700,4,1619751600
CEDEARKO,2021-05-03,1702,1749.5,1702,1739.5,25149,1620010800
CEDEARKO,2021-05-04,1739.5,1745,1720,1729,16928,1620097200
CEDEARKO,2021-05-05,1730,1755,1718,1723.5,41124,1620183600
CEDEARKO,2021-05-06,1723,1738,1718,1729.5,36824,1620270000
CEDEARKO,2021-05-07,1730,1740,1713,1735,12027,1620356400
CEDEARKO,2021-05-10,1740,1755,1731,1736,13806,1620615600
CEDEARKO,2021-05-11,1734,1734,1698,1704.5,10909,1620702000
CEDEARKO,2021-05-12,1705,1730,1695.5,1705,18940,1620788400
CEDEARKO,2021-05-13,1734.5,1750,1710,1747.5,12599,1620874800
CEDEARKO,2021-05-14,1726.5,1750,1726.5,1740.5,14100,1620961200
CEDEARKO,2021-05-17,1741,1760,1731,1758,8,1621220400
CEDEARKO,2021-05-18,1748,1774,1721,1765,8,1621306800
CEDEARKO,2021-05-19,1761.5,1766,1732.5,1765,2,1621393200
CEDEARKO,2021-05-20,1763.5,1806.5,1763.5,1799,24,1621479600
CEDEARKO,2021-05-21,1800,1816.5,1793,1806,32,1621566000
CEDEARKO,2021-05-26,1817,1817,1786,1816,114268,1621998000
CEDEARKO,2021-05-27,1820,1835.5,1810,1824,13006,1622084400
CEDEARKO,2021-05-28,1835,1844,1817,1830,2,1622170800
CEDEARKO,2021-05-31,1843,1879,1835,1871.5,6002,1622430000
CEDEARKO,2021-06-01,1856.5,1856.5,1825,1844.5,31337,1622516400
CEDEARKO,2021-06-02,1862,1868.5,1838.5,1864,16975,1622602800
CEDEARKO,2021-06-03,1859.5,1867.5,1838,1859,10886,1622689200
CEDEARKO,2021-06-04,1875,1890,1867.5,1881.5,16541,1622775600
CEDEARKO,2021-06-07,1882,1896.5,1852.5,1872.5,22569,1623034800
